question_id,question_text,num_continuations,reasoning_diversity,final_diversity,reasoning_divergence,final_divergence
1,At which university did Jurgen Aschoff study medicine?,17,7.0,3.0,0.8235294117647058,0.7058823529411765
2,In which specific issue did Black Condor II perish?,19,5.0,2.0,0.2631578947368421,0.15789473684210525
3,"Where is Sagg Eco Village located in Jammu & Kashmir, India?",19,4.0,2.0,0.10526315789473684,0.3684210526315789
4,What is the birth name of the Mexican artist Peso Pluma?,20,3.0,0.0,0.2,0.0
5,"Can you provide me with the DOI of the paper ""Generating Semantic Maps through Multidimensional Scaling: Linguistic Applications and Theory""?",16,8.0,2.0,1.0625,0.0
6,"What were the month, day, and year when the construction of the UN headquarters in New York City was completed?",10,7.0,3.0,0.8,0.8
7,"What's the month, day, and year of the online publication of the paper ""Articulatory constraints on stop insertion and elision in consonant clusters""?",10,8.0,1.0,2.8,0.5
8,What's the secret identity of the third Phantom Lady?,10,2.0,1.0,0.8,1.0
9,"At the 2006 census, what was the population of Darrud, Iran?",10,9.0,10.0,0.4,4.0
10,"What month, day, and year was House Resolution 7004, ""Addressing the Governor's unacceptable actions in matters related to the appraiser certification program,"" introduced against Governor Kristi Noem?",10,7.0,3.0,1.3,0.9
11,"In TWD Season 11, Episode 10, we learn that Connie got whose uncle kicked out of Congress before the apocalypse?",10,2.0,4.0,1.4,0.5
12,"What year did Kinoko Teikoku release their first single ""Taikutsu Shinogi"" (退屈しのぎ)?",10,6.0,0.0,0.3,0.0
13,In which year did Clint Ballard Jr. adopt the alias Buddy Clinton to cut a two-sided single?,10,5.0,0.0,1.7,0.0
14,In which year did Habiba Ghribi win the junior race of the Pan Arab Cross Country Championships?,10,6.0,0.0,0.9,0.0
15,What change did Patch 0.7 make to the spell Crusader Strike in the beta of World of Warcraft?,10,7.0,2.0,1.3,0.8
16,"After the War of 1812, Edward William McBride (1791-1834) worked as what for the king's printer, John Cameron, on the York Gazette until April 1815?",10,7.0,1.0,0.0,0.0
17,What patch changed the required amount of titanium ore to make a titanium bar from 5 to 4 in Terraria?,10,6.0,2.0,0.7,0.4
18,"Who appointed the Chief Justice of India, Kailas Nath Wanchoo, in 1967?",10,4.0,1.0,0.0,0.0
19,What Serbian player played in the quarterfinals of the 2018 Madrid Open men's singles?,10,6.0,1.0,0.4,1.0
20,What year did Seiko release their first 300m diver watch?,10,3.0,0.0,0.9,0.0
21,What is the first and last name of the first individual to be inducted into the Gospel Music Hall of Fame by the Gospel Music Association who was not a musician?,10,5.0,1.0,0.4,0.2
22,How many units of the Infanterikanonvagn 72 (1952) were delivered to the Swedish army from 1953 to 1954?,10,3.0,0.0,1.0,0.0
23,Who was the rector of Hacettepe University in 2006?,10,3.0,0.0,0.7,0.0
24,"On what day, month, and year did Gopalaswami Parthasarathy assume the charge of Vice Chancellor of Jawaharlal Nehru University?",10,4.0,0.0,0.4,0.0
25,Which piece of art by Raphael was sold by Joseph Joel Duveen to Peter Arrell Browne Widener in 1913?,10,6.0,2.0,1.6,1.0
26,Up to how many meters high does the Pittosporum divaricatum grow?,10,6.0,3.0,1.9,1.0
27,"In which year was the municipality of Macanal, Boyacá, Colombia, founded?",10,3.0,1.0,1.1,1.0
28,The Visvim FBT's name is influenced by the name of what music group?,10,7.0,1.0,1.0,1.0
29,From which university did Teresa Czerwińska earn her Ph.D.?,10,3.0,1.0,1.0,0.2
30,The first brief description of Agrilus planipennis was published by Léon Fairmaire in which French journal in 1888?,10,7.0,3.0,2.0,0.5
31,Which year was the actinide concept proposed?,10,3.0,0.0,1.1,1.0
32,"As of 2022, what is the name of the smallest known exoplanet within 10 parsecs of Earth's solar system?",10,6.0,1.0,0.9,0.0
33,How many days was Kaitlin Armstrong on the run from authorities for killing Moriah Wilson?,10,3.0,0.0,1.3,0.0
34,"On which day, month, and year was the Marathi daily broadsheet newspaper Bahujanratna Loknayak founded?",10,9.0,10.0,3.1,4.6
35,Which hotel was awarded World's Leading Adventure Hotel 2022?,10,7.0,1.0,1.0,0.2
36,"On which album does the Relient K song ""May the Horse Be with You"" appear?",10,7.0,2.0,2.2,1.0
37,"What day, month, and year was the EverQuest II original soundtrack officially released?",10,6.0,2.0,0.5,1.0
38,What's the painting by Munch called with a tired girl lying on a bed painted in 1894?,10,6.0,2.0,1.1,0.0
39,Who designed the San Martín Palace?,10,7.0,3.0,0.4,0.0
40,From which year was Elizabeth Esteve-Coll head of Learning Resources at Kingston Polytechnic?,10,2.0,0.0,1.2,1.0
41,"How many sons and daughters did former State President of South Africa, P.W. Botha, have with his wife Anna Elizabeth Rossouw?",10,6.0,0.0,0.6,0.5
42,What production did the Winnipeg Daily Free Press claim was “too spicy – at least for this town” in June 1880?,10,5.0,2.0,1.3,2.0
43,In what year did conductor David Randolph marry Mildred Greenberg?,10,2.0,0.0,0.4,0.0
44,"Within plus or minus one minute, when did Rober Pier receive a yellow card in the La Liga match between Levante and Real Sociedad on May 6, 2022?",10,5.0,2.0,0.2,0.2
45,"What month and year were the Opuke Thermal Pools & Spa opened in Methven, New Zealand?",10,7.0,1.0,1.0,0.0
46,In what year did the Whitney Museum of American Art devote an entire floor to Julie Mehretu for the first time?,10,2.0,1.0,2.3,2.9
47,"What specific date (month, day, year) was the very first Q Con hosted by Prism Comics in West Hollywood?",10,7.0,4.0,5.0,4.5
48,"In Severance, whom does Mark Scout replace as department head?",10,3.0,1.0,0.0,0.0
49,In what year was the District of Columbia Baptist Convention excommunicated due to its support of LGBTQ inclusion?,10,7.0,2.0,1.0,0.0
50,"How many episodes was Ginnifer Goodwin in ""Big Love: In the Beginning""?",10,3.0,0.0,0.0,0.0
51,"What city did Ciara perform in on May 29, 2015, for her Jackie Tour?",10,6.0,1.0,1.2,0.2
52,What was composer Sigrid Ingeborg Henriette Wienecke's mother's name?,10,9.0,7.0,3.2,4.0
53,How many Indigenous languages were designated in Togo in 1975?,10,7.0,7.0,1.9,1.2
54,"In how many first-class matches did Douglas Bennett, the South African cricketer, play from 1912 to 1924?",10,7.0,0.0,2.7,0.0
55,In what year was Clyde Pinelands Football Club established in Cape Town?,10,8.0,9.0,1.9,5.4
56,"How many dollars did Randolph Cook sue Oprah Winfrey for, for blocking a tell-all book about their alleged relationship?",10,3.0,1.0,1.3,0.0
57,"""The Little Village that Grew,"" a local history published in 1987 and contributed to by the Northside Community Association, is about which Alberta village?",10,3.0,0.0,0.0,0.0
58,"In 2022, how much money in US dollars did one person win from a $1 superfecta bet at the Mohegan Sun sportsbook?",10,3.0,1.0,0.4,2.0
59,What is the elevation in feet of Apharwat Peak in Gulmarg?,10,7.0,3.0,0.4,0.4
60,What is the name of the college where Prince Nirajan Bir Bikram Shah Dev completed his bachelor's degree?,10,4.0,1.0,1.1,0.0
61,"What day, month, and year was Rosa Whitaker Day proclaimed by Rep. Charles Rangel?",10,6.0,2.0,0.0,0.0
62,In what year did Ruth Sager receive the Gilbert Morgan Smith Medal?,10,7.0,0.0,1.2,0.0
63,In what year did Deborah Rhode take over from Judith Brown as Director of the Clayman Institute for Gender Research?,10,2.0,0.0,0.0,0.0
64,"As of 2022, in which years did the Pakistani team not participate in the FIH World Cup?",10,7.0,1.0,1.1,0.0
65,"In which year did Ghana's former Minister of Finance, Kwadwo Baah-Wiredu, obtain the GCE Ordinary Level Certificate?",10,4.0,0.0,0.3,0.0
66,What is the name of the photography partnership that photographed Charles James Blasius Williams in 1873?,10,7.0,3.0,1.4,2.0
67,"Which angel is portrayed in Leonardo da Vinci's ""Virgin of the Rocks""?",10,5.0,0.0,0.0,0.0
68,"What day, month, and year was the soundtrack album ""Mario Kart 64 Greatest Hits"" released in the United States?",10,3.0,1.0,0.0,0.0
70,Which engineer received the Worcester Reed Warner Medal in 1951?,10,6.0,1.0,1.1,0.4
71,"What year was the municipality of Andes, Antioquia, Colombia, founded?",10,6.0,0.0,1.5,0.0
72,"As of the 2020 Census, what was the population of Wheatland, Iowa?",10,4.0,0.0,1.0,0.0
73,Who invited Isadora Duncan to tour with them in 1902?,10,8.0,4.0,3.4,3.1
74,"What year was the municipality of Caicedo, Antioquia, Colombia, founded?",10,6.0,8.0,1.2,2.0
75,Who was the maternal grandfather of the Russian stage actress and singer Baroness Olga Vadimovna von Root?,10,3.0,1.0,0.8,0.4
76,What was the title of Paola Massarenghi's spiritual madrigal printed in Arcangelo Gherardini's *Primo libro de madrigali a cinque voci* in 1585?,10,7.0,1.0,1.0,0.0
77,"In what year was the Kingston Symphony Association, a Canadian arts organization, formed?",10,6.0,0.0,0.2,0.0
78,Who was the spouse of the Indian gangster and politician Santokben Jadeja?,10,4.0,0.0,1.1,0.0
79,How many men competed in fencing during the 1964 Summer Olympics?,10,8.0,0.0,1.8,0.0
80,"What was the name of the artist who painted the first Duchess and Lady Fitzharding playing cards, which hung in the green drawing room as of 1908, according to ""Historic Houses and Their Gardens: Palaces, Castles, Country Places, and Gardens of the Old and New Worlds""?",10,7.0,0.0,1.0,0.0
81,"In 2012, what country did the ICJ say had sovereignty over Bajo Nuevo?",10,2.0,8.0,1.1,1.0
82,Who was the lawyer who developed matrix algebra and also worked on higher-dimensional geometry?,10,2.0,0.0,0.8,0.0
83,"What is the first name of the individual who won the Gordon E. Moore Medal, an award given yearly by the Society of Chemical Industry to someone who has displayed early career success involving innovation in chemical industries, in 2010?",10,5.0,2.0,3.9,3.8
84,"What Toronto doctoral student coauthored ""Note on Symmetric Algebras (1938)"" with Tadashi Nakayama?",10,7.0,3.0,2.5,1.8
86,In what year did the Costume Institute become a curatorial department?,10,6.0,0.0,0.2,0.0
87,"On what day, month, and year were the Streamy Awards first awarded?",10,5.0,0.0,4.1,1.0
88,In which industry did painter William Moore Davis work before he became a full-time painter?,10,6.0,2.0,1.5,2.0
89,"Who are the five judges of the Supreme Court who restored the awards and delivered a judgment that the ""Bharat Ratna and Padma awards are not titles under Article 18 of the Constitution of India?""",10,2.0,1.0,0.3,0.2
90,What store did Fresh Cut Grass get their blue leather duster from while in Uthodurn during Critical Role's Campaign 3?,10,8.0,6.0,2.1,2.2
91,How old was Olga Kharlan when she joined the Ukrainian National Olympic team?,10,2.0,0.0,0.0,0.0
93,What was the last name of the senator from New York who presented Reverend Billy Graham with the Gold Award of the George Washington Carver Memorial Institute in 1964?,10,7.0,0.0,0.2,0.0
94,What is the maximum depth of the Mediterranean Sea in meters?,10,7.0,1.0,0.7,0.0
95,"Who was the 3rd umpire in the Indian Premier League 2019 final match between CSK and MI on May 12, 2019?",10,6.0,1.0,2.4,2.0
96,"In which year did the former PM of J&K, Mehr Chand Mahajan, become a judge of the Lahore High Court?",10,6.0,0.0,0.0,0.0
97,"What are the season number, episode number, and title of the animated series ""Avatar: The Last Airbender"" in which the history of the city Omashu is explained?",10,4.0,1.0,0.7,0.9
98,Adil Hussain was the artistic director and trainer of which organization from 2004 to 2007?,10,7.0,1.0,0.3,0.0
99,"How many referees were selected from the South American Football Confederation (CONMEBOL) for the 2010 FIFA World Cup in Durban, South Africa?",10,6.0,0.0,0.7,0.0
100,"In the British drama series ""Happy Valley,"" who does Alec Secareanu play?",10,6.0,3.0,1.0,0.0
85,"On which day, month, and year was Jomo Cosmos, the South African professional association football club based in Johannesburg that plays in the ABC Motsepe League, founded for the first time?",10,7.0,6.0,0.6,1.2
92,What year did the disco named Infinity in NYC burn down?,10,9.0,8.0,3.8,5.6
